Performance,Metric,Window_Size,Region,Group
0.563953488,Accuracy,1,Coding,A
0.558139535,Accuracy,10,Coding,A
0.563953488,Accuracy,100,Coding,A
0.622093023,Accuracy,1000,Coding,A
0.715116279,Accuracy,10000,Coding,A
0.720930233,Accuracy,11000,Coding,A
0.726744186,Accuracy,12000,Coding,A
0.720930233,Accuracy,13000,Coding,A
0.715116279,Accuracy,14000,Coding,A
0.680232558,Accuracy,1500,Coding,A
0.709302326,Accuracy,15000,Coding,A
0.703488372,Accuracy,16000,Coding,A
0.738372093,Accuracy,17000,Coding,A
0.697674419,Accuracy,18000,Coding,A
0.686046512,Accuracy,19000,Coding,A
0.796511628,Accuracy,1.00E+05,Coding,A
0.563953488,Accuracy,200,Coding,A
0.662790698,Accuracy,2000,Coding,A
0.680232558,Accuracy,20000,Coding,A
0.680232558,Accuracy,21000,Coding,A
0.686046512,Accuracy,22000,Coding,A
0.73255814,Accuracy,23000,Coding,A
0.726744186,Accuracy,24000,Coding,A
0.720930233,Accuracy,2500,Coding,A
0.76744186,Accuracy,25000,Coding,A
0.75,Accuracy,26000,Coding,A
0.755813953,Accuracy,27000,Coding,A
0.76744186,Accuracy,28000,Coding,A
0.773255814,Accuracy,29000,Coding,A
0.569767442,Accuracy,300,Coding,A
0.715116279,Accuracy,3000,Coding,A
0.76744186,Accuracy,30000,Coding,A
0.761627907,Accuracy,31000,Coding,A
0.761627907,Accuracy,32000,Coding,A
0.755813953,Accuracy,33000,Coding,A
0.761627907,Accuracy,34000,Coding,A
0.73255814,Accuracy,3500,Coding,A
0.761627907,Accuracy,35000,Coding,A
0.75,Accuracy,36000,Coding,A
0.75,Accuracy,37000,Coding,A
0.755813953,Accuracy,38000,Coding,A
0.755813953,Accuracy,39000,Coding,A
0.720930233,Accuracy,4000,Coding,A
0.73255814,Accuracy,40000,Coding,A
0.761627907,Accuracy,41000,Coding,A
0.76744186,Accuracy,42000,Coding,A
0.76744186,Accuracy,43000,Coding,A
0.76744186,Accuracy,44000,Coding,A
0.76744186,Accuracy,45000,Coding,A
0.761627907,Accuracy,46000,Coding,A
