Sensitivity,Specificity,Accuracy,F.Measure,Kappa,type,width,k
0.534883720930233,0.476744186046512,0.505813953488372,0.519774011299435,0.0116279069767442,width.1_k.1,1,1
0.63953488372093,0.593023255813954,0.616279069767442,0.625,0.232558139534884,width.3_k.1,3,1
0.674418604651163,0.511627906976744,0.593023255813954,0.623655913978495,0.186046511627907,width.3_k.2,3,2
0.697674418604651,0.534883720930233,0.616279069767442,0.645161290322581,0.232558139534884,width.3_k.3,3,3
0.465116279069767,0.686046511627907,0.575581395348837,0.522875816993464,0.151162790697674,width.5_k.1,5,1
0.569767441860465,0.534883720930233,0.552325581395349,0.56,0.104651162790698,width.5_k.2,5,2
0.604651162790698,0.523255813953488,0.563953488372093,0.581005586592179,0.127906976744186,width.5_k.3,5,3
0.593023255813954,0.569767441860465,0.581395348837209,0.586206896551724,0.162790697674419,width.5_k.4,5,4
0.465116279069767,0.651162790697674,0.558139534883721,0.512820512820513,0.116279069767442,width.7_k.1,7,1
0.523255813953488,0.651162790697674,0.587209302325581,0.559006211180124,0.174418604651163,width.7_k.2,7,2
0.569767441860465,0.674418604651163,0.622093023255814,0.601226993865031,0.244186046511628,width.7_k.3,7,3
0.558139534883721,0.674418604651163,0.616279069767442,0.592592592592593,0.232558139534884,width.7_k.4,7,4
0.5,0.546511627906977,0.523255813953488,0.511904761904762,0.0465116279069768,width.9_k.1,9,1
0.546511627906977,0.63953488372093,0.593023255813954,0.573170731707317,0.186046511627907,width.9_k.2,9,2
0.581395348837209,0.674418604651163,0.627906976744186,0.609756097560976,0.255813953488372,width.9_k.3,9,3
0.593023255813954,0.651162790697674,0.622093023255814,0.610778443113772,0.244186046511628,width.9_k.4,9,4
