Sensitivity,Specificity,Accuracy,F.Measure,Kappa,type,width,k
0.570342205323194,0.622623574144487,0.59648288973384,0.585651537335286,0.192965779467681,width.1_k.1,1,1
0.557034220532319,0.671102661596958,0.614068441064639,0.590725806451613,0.228136882129278,width.3_k.1,3,1
0.571292775665399,0.658745247148289,0.615019011406844,0.597415506958251,0.230038022813688,width.3_k.2,3,2
0.569391634980989,0.666349809885932,0.61787072243346,0.598401598401598,0.23574144486692,width.3_k.3,3,3
0.611216730038023,0.67490494296578,0.643060836501901,0.631320569464899,0.286121673003802,width.5_k.1,5,1
0.585551330798479,0.63212927756654,0.608840304182509,0.599513381995134,0.217680608365019,width.5_k.2,5,2
0.583650190114068,0.628326996197719,0.605988593155893,0.596985901798736,0.211977186311787,width.5_k.3,5,3
0.57509505703422,0.630228136882129,0.602661596958175,0.591397849462366,0.20532319391635,width.5_k.4,5,4
0.596007604562738,0.658745247148289,0.627376425855513,0.615309126594701,0.254752851711027,width.7_k.1,7,1
0.631178707224335,0.645437262357414,0.638307984790874,0.635710866443274,0.276615969581749,width.7_k.2,7,2
0.634980988593156,0.6606463878327,0.647813688212928,0.643235435724603,0.295627376425855,width.7_k.3,7,3
0.63212927756654,0.659695817490494,0.645912547528517,0.640963855421687,0.291825095057034,width.7_k.4,7,4
0.616920152091255,0.654942965779468,0.635931558935361,0.628875968992248,0.271863117870722,width.9_k.1,9,1
0.641634980988593,0.679657794676806,0.6606463878327,0.65406976744186,0.321292775665399,width.9_k.2,9,2
0.668250950570342,0.681558935361217,0.67490494296578,0.672727272727273,0.349809885931559,width.9_k.3,9,3
0.665399239543726,0.681558935361217,0.673479087452472,0.670819357930043,0.346958174904943,width.9_k.4,9,4
